t 1 2 3 4 jK0100 jL0203 jL1
1.58e-06 2905.3 -16740.4 2095.62 10000 -5.30216 -5.30216 -271.262
1.59e-06 3170.77 -16645.9 2287.12 10000 -6.52211 -6.52211 -268.224
1.6e-06 3432.2 -16531.7 2475.69 10000 -7.7476 -7.7476 -264.922
1.61e-06 3689.31 -16397.9 2661.14 10000 -8.97715 -8.97715 -261.362
1.62e-06 3941.85 -16244.4 2843.3 10000 -10.2093 -10.2093 -257.546
1.63e-06 4189.55 -16071.2 3021.97 10000 -11.4426 -11.4426 -253.48
1.64e-06 4432.18 -15878.2 3196.98 10000 -12.6754 -12.6754 -249.17
1.65e-06 4669.48 -15665.6 3368.15 10000 -13.9063 -13.9063 -244.619
1.66e-06 4901.24 -15433.3 3535.32 10000 -15.1338 -15.1338 -239.833
1.67e-06 5127.21 -15181.3 3698.31 10000 -16.3563 -16.3563 -234.819
1.68e-06 5347.17 -14909.9 3856.98 10000 -17.5723 -17.5723 -229.582
1.69e-06 5560.91 -14619.1 4011.15 10000 -18.7803 -18.7803 -224.128
1.7e-06 5768.23 -14309 4160.69 10000 -19.9786 -19.9786 -218.463
1.71e-06 5968.92 -13979.9 4305.45 10000 -21.1658 -21.1658 -212.595
1.72e-06 6162.79 -13631.8 4445.29 10000 -22.3403 -22.3403 -206.529
1.73e-06 6349.66 -13265.1 4580.08 10000 -23.5006 -23.5006 -200.273
1.74e-06 6529.35 -12879.9 4709.69 10000 -24.6452 -24.6452 -193.833
1.75e-06 6701.69 -12476.6 4834.01 10000 -25.7725 -25.7725 -187.218
1.76e-06 6866.53 -12055.4 4952.9 10000 -26.881 -26.881 -180.434
1.77e-06 7023.71 -11616.6 5066.28 10000 -27.9692 -27.9692 -173.488
1.78e-06 7173.09 -11160.5 5174.03 10000 -29.0357 -29.0357 -166.39
1.79e-06 7314.53 -10687.6 5276.06 10000 -30.079 -30.079 -159.146
1.8e-06 7447.93 -10198.2 5372.27 10000 -31.0975 -31.0975 -151.765
1.81e-06 7573.15 -9692.69 5462.6 10000 -32.09 -32.09 -144.254
1.82e-06 7690.09 -9171.53 5546.95 10000 -33.0549 -33.0549 -136.623
1.83e-06 7798.66 -8635.16 5625.26 10000 -33.9909 -33.9909 -128.879
1.84e-06 7898.77 -8084.06 5697.47 10000 -34.8967 -34.8967 -121.03
1.85e-06 7990.34 -7518.72 5763.53 10000 -35.7709 -35.7709 -113.085
1.86e-06 8073.31 -6939.66 5823.37 10000 -36.6121 -36.6121 -105.053
1.87e-06 8147.6 -6347.4 5876.96 10000 -37.4192 -37.4192 -96.943
1.88e-06 8213.19 -5742.52 5924.27 10000 -38.1909 -38.1909 -88.7626
1.89e-06 8270.02 -5125.59 5965.26 10000 -38.926 -38.926 -80.521
1.9e-06 8318.06 -4497.19 5999.91 10000 -39.6233 -39.6233 -72.2269
1.91e-06 8357.3 -3857.95 6028.22 10000 -40.2817 -40.2817 -63.8892
1.92e-06 8387.73 -3208.5 6050.16 10000 -40.9001 -40.9001 -55.5167
1.93e-06 8409.33 -2549.48 6065.75 10000 -41.4774 -41.4774 -47.1182
1.94e-06 8422.13 -1881.56 6074.98 10000 -42.0127 -42.0127 -38.7025
1.95e-06 8426.14 -1205.42 6077.87 10000 -42.5049 -42.5049 -30.2783
1.96e-06 8421.39 -521.752 6074.44 10000 -42.9533 -42.9533 -21.8546
1.97e-06 8407.91 168.728 6064.72 10000 -43.3568 -43.3568 -13.4399
1.98e-06 8385.74 865.299 6048.73 10000 -43.7146 -43.7146 -5.04309
1.99e-06 8354.96 1567.23 6026.53 10000 -44.0261 -44.0261 3.32727
2e-06 8315.61 2273.76 5998.15 10000 -44.2904 -44.2904 11.6625
2.01e-06 8267.78 2984.14 5963.64 10000 -44.507 -44.507 19.9542
2.02e-06 8211.54 3697.59 5923.08 10000 -44.6751 -44.6751 28.1939
2.03e-06 8146.99 4413.35 5876.52 10000 -44.7942 -44.7942 36.3732
2.04e-06 8074.22 5130.61 5824.03 10000 -44.8639 -44.8639 44.4838
2.05e-06 7993.36 5848.59 5765.7 10000 -44.8836 -44.8836 52.5176
2.06e-06 7904.5 6566.48 5701.61 10000 -44.853 -44.853 60.4665
2.07e-06 7807.78 7283.48 5631.84 10000 -44.7717 -44.7717 68.3226
2.08e-06 7703.33 7998.77 5556.5 10000 -44.6395 -44.6395 76.0782
2.09e-06 7591.3 8711.54 5475.69 10000 -44.4561 -44.4561 83.7255
2.1e-06 7471.83 9420.96 5389.51 10000 -44.2213 -44.2213 91.2571
2.11e-06 7345.07 10126.2 5298.08 10000 -43.9352 -43.9352 98.6655
2.12e-06 7211.2 10826.5 5201.52 10000 -43.5975 -43.5975 105.944
2.13e-06 7070.38 11520.9 5099.94 10000 -43.2084 -43.2084 113.084
2.14e-06 6922.79 12208.7 4993.48 10000 -42.768 -42.768 120.081
2.15e-06 6768.61 12889.1 4882.28 10000 -42.2763 -42.2763 126.927
2.16e-06 6608.04 13561.2 4766.45 10000 -41.7336 -41.7336 133.615
2.17e-06 6441.27 14224.2 4646.16 10000 -41.1402 -41.1402 140.14
2.18e-06 6268.51 14877.2 4521.55 10000 -40.4963 -40.4963 146.495
2.19e-06 6089.97 15519.6 4392.76 10000 -39.8024 -39.8024 152.674
2.2e-06 5905.85 16150.5 4259.96 10000 -39.0589 -39.0589 158.672
2.21e-06 5716.39 16769.1 4123.3 10000 -38.2664 -38.2664 164.483
2.22e-06 5521.8 17374.7 3982.94 10000 -37.4254 -37.4254 170.102
2.23e-06 5322.31 17966.4 3839.04 10000 -36.5365 -36.5365 175.524
2.24e-06 5118.16 18543.5 3691.79 10000 -35.6005 -35.6005 180.744
2.25e-06 4909.58 19105.2 3541.34 10000 -34.618 -34.618 185.758
2.26e-06 4696.82 19650.9 3387.87 10000 -33.59 -33.59 190.561
2.27e-06 4480.13 20179.7 3231.57 10000 -32.5173 -32.5173 195.15
2.28e-06 4259.74 20691.1 3072.6 10000 -31.4008 -31.4008 199.52
2.29e-06 4035.91 21184.2 2911.15 10000 -30.2415 -30.2415 203.668
2.3e-06 3808.91 21658.5 2747.41 10000 -29.0404 -29.0404 207.59
2.31e-06 3578.97 22113.2 2581.55 10000 -27.7987 -27.7987 211.284
2.32e-06 3346.36 22547.7 2413.77 10000 -26.5175 -26.5175 214.747
2.33e-06 3111.35 22961.4 2244.25 10000 -25.198 -25.198 217.975
