t 1 2 3 4 5 6 7 8 9 10 11
0.00782488 -0.89229 -10 -0.171104 0 -0.256968 -0.10708 0 -0.196434 -0.956596 10 10
0.00783744 -0.894043 -10 -0.185728 0 -0.272806 -0.108602 0 -0.198201 -0.972375 10 10
0.00785 -0.895452 -10 -0.198434 0 -0.286871 -0.109766 0 -0.199621 -0.986391 10 10
0.00786256 -0.896515 -10 -0.209108 0 -0.299025 -0.110576 0 -0.200692 -0.998504 10 10
0.00787512 -0.897236 -10 -0.217672 0 -0.309161 -0.111039 0 -0.201417 -1.00861 10 10
0.00788768 -0.897625 -10 -0.224083 0 -0.317208 -0.111169 0 -0.201807 -1.01664 10 10
0.00790024 -0.897695 -10 -0.228335 0 -0.323131 -0.110984 0 -0.201876 -1.02255 10 10
0.0079128 -0.897464 -10 -0.230451 0 -0.32693 -0.110505 0 -0.201641 -1.02634 10 10
0.00792536 -0.896954 -10 -0.230489 0 -0.328633 -0.109758 0 -0.201124 -1.02805 10 10
0.00793792 -0.896189 -10 -0.228536 0 -0.328304 -0.10877 0 -0.200349 -1.02774 10 10
0.00795048 -0.895197 -10 -0.224703 0 -0.326031 -0.10757 0 -0.199345 -1.02549 10 10
0.00796304 -0.894005 -10 -0.219129 0 -0.321932 -0.106189 0 -0.19814 -1.02142 10 10
0.0079756 -0.892644 -10 -0.211971 0 -0.316143 -0.10466 0 -0.196764 -1.01567 10 10
0.00798816 -0.891145 -10 -0.203404 0 -0.308825 -0.103015 0 -0.19525 -1.0084 10 10
0.00800072 -0.889539 -10 -0.193617 0 -0.300153 -0.101285 0 -0.193628 -0.999773 10 10
0.00801328 -0.887858 -10 -0.182811 0 -0.290316 -0.0995032 0 -0.191929 -0.989987 10 10
0.00802584 -0.886131 -10 -0.171193 0 -0.279511 -0.0976995 0 -0.190186 -0.979237 10 10
0.0080384 -0.884389 -10 -0.158974 0 -0.267945 -0.095903 0 -0.188426 -0.967727 10 10
0.00805096 -0.882658 -10 -0.146366 0 -0.255825 -0.0941411 0 -0.186679 -0.955664 10 10
0.00806352 -0.880965 -10 -0.133576 0 -0.243359 -0.0924387 0 -0.18497 -0.943255 10 10
0.00807608 -0.879334 -10 -0.120807 0 -0.230752 -0.0908185 0 -0.183323 -0.930704 10 10
0.00808864 -0.877786 -10 -0.108254 0 -0.218201 -0.0893006 0 -0.181761 -0.918209 10 10
0.0081012 -0.876339 -10 -0.0960981 0 -0.205897 -0.0879024 0 -0.180301 -0.905956 10 10
0.00811376 -0.875011 -10 -0.0845087 0 -0.194015 -0.0866382 0 -0.178961 -0.894124 10 10
0.00812632 -0.873815 -10 -0.0736388 0 -0.182721 -0.0855196 0 -0.177754 -0.882874 10 10
0.00813888 -0.87276 -10 -0.0636241 0 -0.17216 -0.0845551 0 -0.17669 -0.872355 10 10
0.00815144 -0.871856 -10 -0.0545818 0 -0.162465 -0.0837504 0 -0.175779 -0.862696 10 10
0.008164 -0.871107 -10 -0.0466092 0 -0.153746 -0.0831085 0 -0.175023 -0.854008 10 10
0.00817656 -0.870515 -10 -0.0397833 0 -0.146097 -0.0826296 0 -0.174427 -0.846385 10 10
0.00818912 -0.87008 -10 -0.0341605 0 -0.139588 -0.0823114 0 -0.173989 -0.839896 10 10
0.00820168 -0.8698 -10 -0.0297764 0 -0.134272 -0.0821492 0 -0.173708 -0.834596 10 10
0.00821424 -0.86967 -10 -0.0266462 0 -0.130181 -0.0821363 0 -0.173577 -0.830513 10 10
