t 1 2 3 jxH0100
0.255 9e-09 0.1 0.1 9e-09
0.256 1.48489e-08 0.12 0.12 1.48489e-08
0.257 2.41189e-08 0.14 0.14 2.41189e-08
0.258 3.88107e-08 0.16 0.16 3.88107e-08
0.259 6.20958e-08 0.18 0.18 6.20958e-08
0.26 9.9e-08 0.2 0.2 9.9e-08
0.261 1.57489e-07 0.22 0.22 1.57489e-07
0.262 2.50189e-07 0.24 0.24 2.50189e-07
0.263 3.97107e-07 0.26 0.26 3.97107e-07
0.264 6.29958e-07 0.28 0.28 6.29958e-07
0.265 9.99001e-07 0.3 0.3 9.99001e-07
0.266 1.58389e-06 0.32 0.32 1.58389e-06
0.267 2.51089e-06 0.34 0.34 2.51089e-06
0.268 3.98007e-06 0.36 0.36 3.98007e-06
0.269 6.30858e-06 0.38 0.38 6.30858e-06
0.27 9.99901e-06 0.4 0.4 9.99901e-06
0.271 1.58479e-05 0.42 0.42 1.58479e-05
0.272 2.51179e-05 0.44 0.44 2.51179e-05
0.273 3.98097e-05 0.46 0.46 3.98097e-05
0.274 6.30948e-05 0.48 0.48 6.30948e-05
0.275 9.99991e-05 0.5 0.5 9.99991e-05
0.276 0.000158488 0.52 0.52 0.000158488
0.277 0.000251188 0.54 0.54 0.000251188
0.278 0.000398107 0.56 0.56 0.000398107
0.279 0.000630957 0.58 0.58 0.000630957
0.28 0.001 0.6 0.6 0.001
0.281 0.00158489 0.62 0.62 0.00158489
0.282 0.00251189 0.64 0.64 0.00251189
0.283 0.00398108 0.66 0.66 0.00398108
0.284 0.00630958 0.68 0.68 0.00630958
0.285 0.01 0.7 0.7 0.01
0.286 0.015849 0.72 0.72 0.015849
0.287 0.0251189 0.74 0.74 0.0251189
0.288 0.0398108 0.76 0.76 0.0398108
0.289 0.0630958 0.78 0.78 0.0630958
0.29 0.1 0.8 0.8 0.1
0.291 0.146052 0.82 0.82 0.146052
0.292 0.192104 0.84 0.84 0.192104
0.293 0.238155 0.86 0.86 0.238155
0.294 0.284207 0.88 0.88 0.284207
0.295 0.330259 0.9 0.9 0.330259
0.296 0.376311 0.92 0.92 0.376311
0.297 0.422363 0.94 0.94 0.422363
0.298 0.468414 0.96 0.96 0.468414
0.299 0.514466 0.98 0.98 0.514466
0.3 0.560518 1 1 0.560518
0.301 0.60657 1.02 1.02 0.60657
0.302 0.652621 1.04 1.04 0.652621
0.303 0.698673 1.06 1.06 0.698673
0.304 0.744725 1.08 1.08 0.744725
0.305 0.790777 1.1 1.1 0.790777
