t 1 2 3 4 5 jL0100 jL0201 jL0302 jL0403 jV0500
3.36 -5.65895e-05 -0.00396841 -0.134626 -2.38474 1 -7.56751e-05 -0.00578012 -0.153366 -2.69568 -0.00570445
3.4 -9.97014e-05 -0.00616675 -0.191689 -2.2674 1 -0.000136426 -0.00965136 -0.233967 -3.17152 -0.00951493
3.44 -0.000170159 -0.00943494 -0.256246 -2.13185 1 -0.000241321 -0.0155992 -0.344178 -3.60616 -0.0153579
3.48 -0.000282046 -0.0141095 -0.326739 -1.97984 1 -0.000417094 -0.0245577 -0.486791 -3.99432 -0.0241406
3.52 -0.000455268 -0.0205413 -0.401458 -1.81332 1 -0.000703689 -0.0377142 -0.66359 -4.33147 -0.0370105
3.56 -0.0007169 -0.0290807 -0.478584 -1.63441 1 -0.00115931 -0.05651 -0.875281 -4.61391 -0.0553507
3.6 -0.00110246 -0.0400611 -0.556225 -1.44536 1 -0.0018665 -0.0826272 -1.12145 -4.83886 -0.0807607
3.64 -0.00165706 -0.053783 -0.632463 -1.24849 1 -0.00293913 -0.117963 -1.40055 -5.00443 -0.115024
3.68 -0.00243629 -0.0704989 -0.705394 -1.04621 1 -0.00453023 -0.164589 -1.70991 -5.10968 -0.160059
3.72 -0.00350682 -0.0903981 -0.773169 -0.840924 1 -0.00684032 -0.224702 -2.04581 -5.15462 -0.217862
3.76 -0.00494667 -0.113594 -0.834039 -0.635028 1 -0.0101262 -0.30056 -2.40352 -5.14018 -0.290434
3.8 -0.00684495 -0.14011 -0.886391 -0.43086 1 -0.0147096 -0.394408 -2.77742 -5.06818 -0.379699
3.84 -0.00930123 -0.169877 -0.928782 -0.230671 1 -0.0209857 -0.508402 -3.16112 -4.94128 -0.487416
3.88 -0.0124243 -0.202718 -0.959974 -0.0365872 1 -0.0294304 -0.644519 -3.54762 -4.76292 -0.615088
3.92 -0.0163304 -0.23835 -0.978958 0.149416 1 -0.0406075 -0.804473 -3.92946 -4.53722 -0.763865
3.96 -0.0211413 -0.276383 -0.984975 0.325539 1 -0.0551728 -0.989623 -4.29889 -4.26895 -0.93445
4 -0.0269808 -0.316321 -0.977533 0.490185 1 -0.0738779 -1.20089 -4.64808 -3.96334 -1.12701
4.04 -0.0339722 -0.357567 -0.956415 0.641973 1 -0.0975705 -1.43867 -4.9693 -3.62607 -1.3411
4.08 -0.0422343 -0.399435 -0.921685 0.779756 1 -0.127192 -1.70278 -5.25509 -3.26309 -1.57559
4.12 -0.0518773 -0.441158 -0.87368 0.902629 1 -0.163773 -1.99238 -5.49848 -2.88054 -1.8286
4.16 -0.0629987 -0.481905 -0.813008 1.00993 1 -0.208426 -2.30591 -5.69315 -2.48462 -2.09748
4.2 -0.0756786 -0.520797 -0.740526 1.10125 1 -0.26233 -2.6411 -5.83356 -2.0815 -2.37877
4.24 -0.0899752 -0.55693 -0.657324 1.17643 1 -0.32672 -2.99493 -5.91517 -1.67719 -2.66821
4.28 -0.10592 -0.589388 -0.564698 1.23552 1 -0.402865 -3.36364 -5.93447 -1.27745 -2.96077
4.32 -0.123516 -0.617272 -0.464123 1.27882 1 -0.492047 -3.74275 -5.88913 -0.887706 -3.2507
4.36 -0.142728 -0.639718 -0.357215 1.30684 1 -0.595537 -4.1271 -5.77808 -0.512936 -3.53156
