t 1 2 3 4 5 6 7 jK0406 jL0406
8.5e-06 0.743941 10 -8.36634e-10 179.7 180 0.0756695 -17.9625 0.00783442 0.298889
8.6e-06 0.744096 10 -8.46549e-10 179.698 180 0.0758574 -17.9622 -0.00826779 0.302481
8.7e-06 0.744494 10 -8.56464e-10 179.693 180 0.0763398 -17.9617 0.00714468 0.306074
8.8e-06 0.744656 10 -8.66378e-10 179.691 180 0.076537 -17.9615 -0.00760695 0.309666
8.9e-06 0.745035 10 -8.76291e-10 179.686 180 0.0769991 -17.9609 0.00651376 0.313258
9e-06 0.745203 10 -8.86203e-10 179.684 180 0.0772043 -17.9607 -0.00700236 0.31685
9.1e-06 0.745566 10 -8.96114e-10 179.679 180 0.077648 -17.9601 0.00593654 0.320442
9.2e-06 0.745738 10 -9.06024e-10 179.677 180 0.0778599 -17.9599 -0.00644912 0.324034
9.3e-06 0.746085 10 -9.15933e-10 179.672 180 0.0782867 -17.9594 0.00540833 0.327626
9.4e-06 0.746262 10 -9.25841e-10 179.669 180 0.0785044 -17.9591 -0.00594277 0.331218
9.5e-06 0.746594 10 -9.35748e-10 179.665 180 0.0789158 -17.9586 0.00492491 0.33481
9.6e-06 0.746774 10 -9.45654e-10 179.662 180 0.0791384 -17.9583 -0.00547926 0.338402
9.7e-06 0.747094 10 -9.55559e-10 179.658 180 0.0795356 -17.9578 0.00448239 0.341993
9.8e-06 0.747276 10 -9.65463e-10 179.655 180 0.0797623 -17.9575 -0.0050549 0.345585
9.9e-06 0.747583 10 -9.75366e-10 179.65 180 0.0801465 -17.957 0.00407725 0.349176
1e-05 0.747767 10 -9.85268e-10 179.648 180 0.0803765 -17.9567 -0.0046663 0.352768
1.01e-05 0.748064 10 -9.95169e-10 179.643 180 0.0807487 -17.9563 0.00370627 0.356359
1.02e-05 0.748249 10 -1.00507e-09 179.64 180 0.0809815 -17.956 -0.00431041 0.35995
1.03e-05 0.748536 10 -1.01497e-09 179.636 180 0.0813427 -17.9555 0.00336653 0.363541
1.04e-05 0.748722 10 -1.02487e-09 179.633 180 0.0815777 -17.9552 -0.00398443 0.367132
1.05e-05 0.748999 10 -1.03476e-09 179.629 180 0.0819287 -17.9547 0.00305536 0.370723
1.06e-05 0.749185 10 -1.04466e-09 179.626 180 0.0821655 -17.9544 -0.00368579 0.374314
1.07e-05 0.749454 10 -1.05455e-09 179.622 180 0.0825071 -17.9539 0.00277031 0.377905
1.08e-05 0.74964 10 -1.06445e-09 179.619 180 0.0827452 -17.9536 -0.00341216 0.381496
1.09e-05 0.749901 10 -1.07434e-09 179.615 180 0.0830781 -17.9532 0.00250915 0.385087
1.1e-05 0.750087 10 -1.08423e-09 179.612 180 0.0833172 -17.9528 -0.00316143 0.388677
1.11e-05 0.75034 10 -1.09412e-09 179.608 180 0.083642 -17.9524 0.00226986 0.392268
1.12e-05 0.750526 10 -1.10401e-09 179.604 180 0.0838818 -17.9521 -0.00293164 0.395858
1.13e-05 0.750771 10 -1.1139e-09 179.6 180 0.0841991 -17.9516 0.00205059 0.399448
1.14e-05 0.750957 10 -1.12379e-09 179.597 180 0.0844392 -17.9513 -0.00272102 0.403039
1.15e-05 0.751196 10 -1.13368e-09 179.593 180 0.0847495 -17.9508 0.00184963 0.406629
1.16e-05 0.75138 10 -1.14357e-09 179.59 180 0.0849898 -17.9505 -0.00252795 0.410219
1.17e-05 0.751613 10 -1.15345e-09 179.586 180 0.0852936 -17.9501 0.00166543 0.413809
1.18e-05 0.751797 10 -1.16333e-09 179.583 180 0.0855338 -17.9497 -0.00235094 0.417399
1.19e-05 0.752024 10 -1.17322e-09 179.579 180 0.0858315 -17.9493 0.00149659 0.420989
1.2e-05 0.752206 10 -1.1831e-09 179.576 180 0.0860714 -17.949 -0.00218865 0.424579
1.21e-05 0.752428 10 -1.19298e-09 179.572 180 0.0863635 -17.9485 0.0013418 0.428169
1.22e-05 0.752609 10 -1.20286e-09 179.568 180 0.086603 -17.9482 -0.00203983 0.431758
1.23e-05 0.752826 10 -1.21274e-09 179.565 180 0.0868898 -17.9478 0.00119989 0.435348
1.24e-05 0.753006 10 -1.22262e-09 179.561 180 0.0871288 -17.9474 -0.00190336 0.438937
1.25e-05 0.753217 10 -1.2325e-09 179.557 180 0.0874105 -17.947 0.00106977 0.442527
1.26e-05 0.753396 10 -1.24237e-09 179.554 180 0.0876489 -17.9466 -0.00177819 0.446116
1.27e-05 0.753603 10 -1.25225e-09 179.55 180 0.087926 -17.9462 0.000950447 0.449706
1.28e-05 0.75378 10 -1.26212e-09 179.547 180 0.0881635 -17.9459 -0.00166337 0.453295
1.29e-05 0.753982 10 -1.272e-09 179.543 180 0.0884363 -17.9455 0.000841025 0.456884
1.3e-05 0.754158 10 -1.28187e-09 179.54 180 0.088673 -17.9451 -0.00155805 0.460473
1.31e-05 0.754356 10 -1.29174e-09 179.536 180 0.0889416 -17.9447 0.000740671 0.464062
1.32e-05 0.75453 10 -1.30161e-09 179.532 180 0.0891774 -17.9443 -0.00146143 0.467651
1.33e-05 0.754725 10 -1.31148e-09 179.529 180 0.0894421 -17.9439 0.000648627 0.47124
