t 1 2 3 4 jK0200 jL1 jL2
0.568478 -3.79848 -0.379848 3.42041 -0.587791 0.205836 2.05836 -1.01817
0.574462 -3.27331 -0.327331 3.83171 -0.48176 0.167733 1.67733 -1.11063
0.580446 -2.67348 -0.267348 4.18579 -0.368132 0.126505 1.26505 -1.18839
0.58643 -2.00667 -0.200667 4.47626 -0.248697 0.0827976 0.827976 -1.24958
0.592414 -1.282 -0.1282 4.69776 -0.125341 0.0373055 0.373055 -1.29258
0.598398 -0.509906 -0.0509906 4.84603 -8e-06 -0.00924023 -0.0924023 -1.31601
0.604382 0.297964 0.0297964 4.91798 0.125325 -0.0560838 -0.560838 -1.31878
0.610366 1.12897 0.112897 4.91178 0.248682 -0.102458 -1.02458 -1.30012
0.61635 1.96966 0.196966 4.82688 0.368117 -0.147595 -1.47595 -1.25961
0.622334 2.80595 0.280595 4.66402 0.481746 -0.190744 -1.90744 -1.19717
0.628318 3.62342 0.362342 4.42526 0.587778 -0.231178 -2.31178 -1.1131
0.634302 4.4075 0.44075 4.11393 0.684541 -0.268212 -2.68212 -1.0081
0.640286 5.14374 0.514374 3.73457 0.770508 -0.301212 -3.01212 -0.883215
0.64627 5.81812 0.581812 3.29289 0.844323 -0.329606 -3.29606 -0.739889
0.652254 6.4172 0.64172 2.79566 0.904823 -0.352896 -3.52896 -0.579912
0.658238 6.9285 0.69285 2.25061 0.951054 -0.370664 -3.70664 -0.405417
0.664222 7.34065 0.734065 1.66629 0.982286 -0.382584 -3.82584 -0.218848
0.670206 7.64367 0.764367 1.05198 0.998026 -0.388424 -3.88424 -0.0229275
0.67619 7.82918 0.782918 0.417451 0.998027 -0.388051 -3.88051 0.17938
0.682174 7.89058 0.789058 -0.227103 0.982289 -0.381437 -3.81437 0.384916
0.688158 7.8232 0.78232 -0.8713 0.951059 -0.368656 -3.68656 0.590374
0.694142 7.62448 0.762448 -1.50471 0.904831 -0.349887 -3.49887 0.792352
0.700126 7.29402 0.729402 -2.11705 0.844333 -0.325407 -3.25407 0.987411
0.70611 6.83369 0.683369 -2.69834 0.770519 -0.295592 -2.95592 1.17213
0.712094 6.24762 0.624762 -3.23907 0.684554 -0.260906 -2.60906 1.34317
0.718078 5.5422 0.55422 -3.73037 0.587793 -0.221898 -2.21898 1.49732
0.724062 4.72604 0.472604 -4.16416 0.481762 -0.17919 -1.7919 1.63158
0.730046 3.80986 0.380986 -4.53329 0.368134 -0.133467 -1.33467 1.74319
0.73603 2.80637 0.280637 -4.83164 0.248699 -0.0854682 -0.854682 1.82969
0.742014 1.73007 0.173007 -5.05423 0.125343 -0.035971 -0.35971 1.88901
0.747998 0.597096 0.0597096 -5.19734 1e-05 0.0142192 0.142192 1.91943
0.753982 -0.575064 -0.0575064 -5.25852 -0.125323 0.0642839 0.642839 1.91972
0.759966 -1.76782 -0.176782 -5.23667 -0.24868 0.113405 1.13405 1.88909
0.76595 -2.96178 -0.296178 -5.13205 -0.368115 0.160778 1.60778 1.82725
0.771934 -4.13706 -0.413706 -4.94626 -0.481745 0.205626 2.05626 1.73443
0.777918 -5.27362 -0.527362 -4.68224 -0.587777 0.247214 2.47214 1.61139
0.783902 -6.35158 -0.635158 -4.34419 -0.684539 0.28486 2.8486 1.45939
0.789885 -7.35163 -0.735163 -3.93755 -0.770507 0.317947 3.17947 1.28022
0.795869 -8.25529 -0.825529 -3.46886 -0.844322 0.345931 3.45931 1.07616
0.801853 -9.04529 -0.904529 -2.94565 -0.904822 0.368356 3.68356 0.849953
0.807837 -9.70591 -0.970591 -2.37637 -0.951053 0.384857 3.84857 0.604781
0.813821 -10.2232 -1.02232 -1.77017 -0.982285 0.395167 3.95167 0.344208
0.819805 -10.5854 -1.05854 -1.13683 -0.998026 0.399122 3.99122 0.0721341
0.825789 -10.7831 -1.07831 -0.486525 -0.998027 0.396664 3.96664 -0.20726
0.831773 -10.8093 -1.08093 0.170301 -0.982289 0.387841 3.87841 -0.489581
0.837757 -10.66 -1.066 0.823122 -0.95106 0.372807 3.72807 -0.770293
0.843741 -10.3337 -1.03337 1.46151 -0.904832 0.35182 3.5182 -1.04479
0.849725 -9.8322 -0.98322 2.07529 -0.844334 0.325235 3.25235 -1.30845
0.855709 -9.16005 -0.916005 2.65472 -0.770521 0.2935 2.935 -1.55678
0.861693 -8.32483 -0.832483 3.19067 -0.684556 0.257147 2.57147 -1.78539
0.867677 -7.33699 -0.733699 3.67472 -0.587795 0.216783 2.16783 -1.99017
0.873661 -6.20972 -0.620972 4.09934 -0.481764 0.173082 1.73082 -2.16729
0.879645 -4.95884 -0.495884 4.45801 -0.368135 0.12677 1.2677 -2.31332
0.885629 -3.60251 -0.360251 4.74528 -0.248701 0.0786137 0.786137 -2.42526
0.891613 -2.16101 -0.216101 4.95691 -0.125345 0.0294084 0.294084 -2.50062
0.897597 -0.656428 -0.0656428 5.0899 -1.2e-05 -0.0200363 -0.200363 -2.53746
0.903581 0.887691 0.0887691 5.14255 0.125321 -0.0689102 -0.689102 -2.53444
0.909565 2.4467 0.24467 5.11446 0.248678 -0.116416 -1.16416 -2.49084
0.915549 3.99525 0.399525 5.00655 0.368113 -0.161783 -1.61783 -2.40661
0.921533 5.50771 0.550771 4.82104 0.481743 -0.204281 -2.04281 -2.28236
0.927517 6.95859 0.695859 4.56137 0.587775 -0.243228 -2.43228 -2.11936
0.933501 8.32299 0.832299 4.23219 0.684538 -0.278009 -2.78009 -1.91956
0.939485 9.57698 0.957698 3.83921 0.770505 -0.308079 -3.08079 -1.68551
0.945469 10.6981 1.06981 3.38916 0.844321 -0.332977 -3.32977 -1.42042
0.951453 11.6656 1.16656 2.88964 0.904822 -0.352329 -3.52329 -1.12801
0.957437 12.4611 1.24611 2.34898 0.951053 -0.365857 -3.65857 -0.812556
0.963421 13.0686 1.30686 1.77611 0.982285 -0.373383 -3.73383 -0.478754
0.969405 13.4751 1.34751 1.18043 0.998026 -0.37483 -3.7483 -0.131695
0.975389 13.6707 1.36707 0.571581 0.998028 -0.370221 -3.70221 0.223237
0.981373 13.6486 1.36486 -0.0406269 0.98229 -0.359685 -3.59685 0.580437
0.987357 13.4058 1.34058 -0.646445 0.951061 -0.343444 -3.43444 0.934173
0.993341 12.9428 1.29428 -1.23632 0.904833 -0.321818 -3.21818 1.27868
0.999325 12.2636 1.22636 -1.80104 0.844335 -0.295211 -2.95211 1.60825
